section,metric,value,threshold,n_cells_removed,min,q25,median,q75,max,step,cluster,n_cells,pct_cells,assigned_type,top_markers,bulk_majority,bulk_majority_fraction
pipeline_params,,15,,,,,,,,n_neighbors,,,,,,,
pipeline_params,,30,,,,,,,,n_pcs,,,,,,,
pipeline_params,,0.5,,,,,,,,umap_min_dist,,,,,,,
pipeline_params,,1.0,,,,,,,,leiden_resolution,,,,,,,
pipeline_params,,leidenalg,,,,,,,,leiden_flavor,,,,,,,
pipeline_params,,2,,,,,,,,leiden_n_iterations,,,,,,,
pipeline_params,,20,,,,,,,,mixing_k,,,,,,,
pipeline_params,,X_pca,,,,,,,,harmony_basis,,,,,,,
pipeline_params,,X_pca_harmony,,,,,,,,harmony_adjusted_basis,,,,,,,
pipeline_params,,20,,,,,,,,harmony_max_iter,,,,,,,
pipeline_params,,(see marker_gene_sets / bulk_coarse_map sections),,,,,,,,marker_gene_sets,,,,,,,
pipeline_params,,(see marker_gene_sets / bulk_coarse_map sections),,,,,,,,bulk_coarse_map,,,,,,,
pipeline_params,,500,,,,,,,,n_hvg_selected,,,,,,,
batch,same_batch_neighbor_frac_pre_pca,0.5073,,,,,,,,,,,,,,,
batch,same_batch_neighbor_frac_post_pca,0.4711,,,,,,,,,,,,,,,
batch,same_batch_neighbor_frac_pre_umap,0.4999,,,,,,,,,,,,,,,
batch,same_batch_neighbor_frac_post_umap,0.4827,,,,,,,,,,,,,,,
batch,ari_batch_vs_leiden_pre,-0.0013,,,,,,,,,,,,,,,
batch,ari_batch_vs_leiden_post,-0.0015,,,,,,,,,,,,,,,
batch,harmony_n_iterations,not_exposed,,,,,,,,,,,,,,,
batch,harmony_adjusted_basis,X_pca_harmony,,,,,,,,,,,,,,,
annotation,bulk_coarse_map,CD14+ Monocyte->Monocyte;CD19+ B->B;CD34+->CD34+;CD4+/CD25 T Reg->CD4 T;CD4+/CD45RA+/CD25- Naive T->CD4 T;CD4+/CD45RO+ Memory->CD4 T;CD56+ NK->NK;CD8+ Cytotoxic T->CD8 T;CD8+/CD45RA+ Naive Cytotoxic->CD8 T;Dendritic->DC,,,,,,,,,,,,,,,
annotation,n_clusters,8,,,,,,,,,,,,,,,
annotation,agreement_fraction_pred_vs_bulk_coarse,0.7443,,,,,,,,,,,,,,,
annotation,ari_pred_vs_bulk_coarse,0.6312,,,,,,,,,,,,,,,
annotation,ari_leiden_vs_bulk_coarse,0.5309,,,,,,,,,,,,,,,
annotation,ari_my_leiden_vs_provider_louvain,0.7262,,,,,,,,,,,,,,,
clusters,,,,,,,,,,,0,179.0,25.57,Monocyte,"FTL, LST1, AIF1, FCGR3A, CTSS",CD14+ Monocyte,0.687
clusters,,,,,,,,,,,1,156.0,22.29,DC,"FCER1A, LYZ, HLA-DRB1, HLA-DQA1, HLA-DRA",Dendritic,0.968
clusters,,,,,,,,,,,2,141.0,20.14,CD4 T,"CD3D, LDHB, AES, NOSIP, CD3E",CD4+/CD25 T Reg,0.475
clusters,,,,,,,,,,,3,76.0,10.86,NK,"NKG7, CTSW, GNLY, GZMA, CST7",CD8+ Cytotoxic T,0.474
clusters,,,,,,,,,,,4,66.0,9.43,B,"CD79B, CD79A, MS4A1, LTB, CD37",CD19+ B,0.939
clusters,,,,,,,,,,,5,36.0,5.14,DC,"IRF8, CPVL, HLA-DPA1, CST3, CD74",Dendritic,1.0
clusters,,,,,,,,,,,6,33.0,4.71,B,"MZB1, PPIB, IGJ, TNFRSF17, SSR4",CD19+ B,0.909
clusters,,,,,,,,,,,7,13.0,1.86,NK,"HNRNPA1, NPM1, SNHG7, RPS24, SNHG8",CD34+,1.0
